Observateur,Nom scientifique,Y,X,Altitude
Enna,Timarcha goettingensis,12.82302,0.921501,NA
Enna,Nuctenea umbratica,42.875171,0.951649,754.79248046875
Enna,Xylocopa violacea,44.291622,5.989651,769.77886962890625
Enna,Bathysolen nubilus,44.291622,5.989651,769.77886962890625
Enna,Vilpianus galii,44.291622,5.989651,769.77886962890625
Enna,Spilostethus pandurus,44.291622,5.989651,769.77886962890625
Enna,Derula flavoguttata,44.291622,5.989651,769.77886962890625
Enna,Empusa pennata,44.291622,5.989651,769.77886962890625
Enna,Chrysolina kuesteri,44.291622,5.989651,769.77886962890625
Enna,Minyops carinatus,44.291622,5.989651,769.77886962890625
Enna,Tetrix subulata,44.569564,5.97438,964.38165283203125
Enna,Nymphalis polychloros,44.570097,5.974541,969.16827392578125
Enna,Pontia daplidice,44.572184,5.981587,983.72467041015625
Enna,Exochomus quadripustulatus,44.570227,5.97456,971.5799560546875
Enna,Geocoris erythrocephalus,44.572184,5.981587,983.72467041015625
Enna,Tropinota hirta,44.570296,5.973615,975.94842529296875
Enna,Cynips quercusfolii,44.572184,5.981587,983.72467041015625
Enna,Acrotylus insubricus,43.977722,5.778355,665.767822265625
Enna,Tettigometra griseola,43.977722,5.778355,665.767822265625
Enna,Orthosia gothica,43.977722,5.778355,665.767822265625
Enna,Synopsia sociaria,44.099375,6.017029,435.9782409667969
Enna,Scymnus subvillosus,44.291361,5.994586,790.88702392578125
Enna,Callophrys rubi,44.106314,6.02243,537.9774169921875
Enna,Glaucopsyche melanops,44.106412,6.02261,541.38385009765625
Enna,Pseudophilotes baton,44.106314,6.02243,537.9774169921875
Enna,Anthocharis euphenoides,44.106412,6.02261,541.38385009765625
Enna,Iphiclides podalirius,44.10845,6.019662,534.98162841796875
Enna,Lasiommata megera,44.106314,6.02243,537.9774169921875
Enna,Coranus griseus,44.106314,6.02243,537.9774169921875
Enna,Cyphostethus tristriatus,44.289799,5.997938,789.2152099609375
Enna,Micrommata ligurina,44.239442,6.016017,1088.6407470703125
Enna,Myzia oblongoguttata,44.238228,6.011543,1120.427734375
Enna,Arctia festiva,44.23584,6.009959,1070.8944091796875
Enna,Aglais urticae,44.290239,5.996678,786.799560546875
Enna,Lycaena phlaeas,44.291361,5.994586,790.88702392578125
Enna,Erebia epistygne,44.291361,5.994586,790.88702392578125
Enna,Noctua pronuba,44.291663,5.989223,766.43359375
Enna,Tritomegas bicolor,44.291663,5.989223,766.43359375
Enna,Gonepteryx rahmni,44.291663,5.989223,766.43359375
Enna,Boloria dia,44.291247,5.99479,789.0733642578125
Enna,Lilioceris lilii,44.291663,5.989223,766.43359375
Enna,Rhyparochromus vulgaris,44.291845,5.9893980000000004,766.29290771484375
Enna,Melitaea cinxia,44.292104,5.989572,765.82720947265625
Enna,Chrysomela populi,44.409414,5.968597,563.218994140625
Enna,Salticus scenicus,44.410375,5.983152,557.29339599609375
Enna,Lasiocoris anomalus,44.409414,5.968597,563.218994140625
Enna,Ischnopeza hirticornis,44.409414,5.968597,563.218994140625
Enna,Lacon punctatus,44.41087,5.982825,558.79620361328125
Enna,Euborellia moesta,44.409414,5.968597,563.218994140625
Enna,Bena bicolorana,44.409414,5.968597,563.218994140625
Enna,Carcharodus alcea,44.291446,5.994585,792.99957275390625
Enna,Tachyporus hypnorum,44.292698,5.995368,819.176513671875
Enna,Philaenus spumarius,44.292698,5.995368,819.176513671875
Enna,Pyrgus malvoides,44.291339,5.994824,791.39459228515625
Enna,Runcinia grammica,44.291182,5.994671,787.1123046875
Enna,Perapion violaceum,44.291182,5.994671,787.1123046875
Enna,Tingis auriculata,44.291339,5.994824,791.39459228515625
Enna,Spilostethus saxatilis,44.291622,5.989651,769.77886962890625
Enna,Spiris striata,44.291622,5.989651,769.77886962890625
Enna,Issoria lathonia,44.291663,5.989223,766.43359375
Enna,Coenonympha pamphilus,44.291514,5.9939,789.9525146484375
Enna,Xylocopa iris,44.291663,5.989223,766.43359375
Enna,Eurydema oleracea,44.291663,5.989223,766.43359375
Enna,Eurydema ventralis,44.291663,5.989223,766.43359375
Enna,Dasylabris maura,44.29146,5.994769,794.078369140625
Enna,Dinocampus coccinellae,44.29146,5.994769,794.078369140625
Enna,Pseudocleonus cinereus,44.29146,5.994769,794.078369140625
Enna,Eurranthis plummistaria,43.979221,5.776534,699.42572021484375
Enna,Anthocharis cardamines,44.289768,5.993874,765.25762939453125
Enna,Papilio machaon,43.977983,5.777078,682.2279052734375
Enna,Colias crocea,43.498261,6.08688,221.71548461914062
Enna,Pieris rapae,43.497482,6.083807,215.9945068359375
Enna,Euchloe crameri,43.497482,6.083807,215.9945068359375
Enna,Tomares ballus,43.49895,6.094023,225.73094177246094
Enna,Glaucopsyche alexis,43.498668,6.089532,214.87257385253906
Enna,Eurydema ornata,43.498109,6.086875,220.27606201171875
Enna,Libelloides coccajus,43.497689,6.085206,217.03680419921875
Enna,Eurygaster austriaca,43.499081,6.090458,222.71524047851563
Enna,Peirates stridulus,43.499278,6.090941,225.53616333007812
Enna,Cercopis intermedia,43.497283,6.084103,213.9744873046875
Enna,Adela australis,43.49929,6.081943,235.75079345703125
Enna,Lixus acicularis,43.49929,6.081943,235.75079345703125
Enna,Aporia crataegi,44.074294,5.930001,655.086669921875
Enna,Glomeris marginata,44.074548,5.926182,667.14715576171875
Enna,Uroctea durandi,44.079096,5.919627,721.556396484375
Enna,Euscorpius tergestinus,44.080637,5.919691,736.404052734375
Enna,Zerynthia polyxena,44.080213,5.919991,732.15692138671875
Enna,Leptopus marmoratus,44.079096,5.919627,721.556396484375
Enna,Dolichopoda azami,44.21345,6.045126,904.971435546875
Enna,Erynnis tages,44.29146,5.994769,794.078369140625
Enna,Boloria euphrosyne,44.119135,6.061362,787.76361083984375
Enna,Eriogaster catax,44.120755,6.063717,865.2955322265625
Enna,Eriogaster lanestris,44.120669,6.064001,864.06890869140625
Enna,Diacrisia purpura,44.119135,6.061362,787.76361083984375
Enna,Cyrba algerina,44.120669,6.064001,864.06890869140625
Enna,Polyommatus icarus,44.29159,5.993335,786.47869873046875
Enna,Aricia agestis,44.29159,5.993335,786.47869873046875
Enna,Cyaniris semiargus,44.29159,5.993335,786.47869873046875
Enna,Vanessa cardui,44.041305,5.956422,406.0478515625
Enna,Oxythyrea funesta,44.049337,5.929911,563.4271240234375
Enna,Spialia sertorius,43.897899,5.844318,437.4480285644531
Enna,Glomeris esterelana,43.897899,5.844318,437.4480285644531
Enna,Prionotropis azami,43.672314,5.876397,444.1579895019531
Enna,Arcyptera kheili,43.672314,5.876397,444.1579895019531
Enna,Saga pedo,43.687699,5.863685,430.2432556152344
Enna,Zerynthia rumina,43.687302,5.86494,430.3180236816406
Enna,Arima marginata,43.634835,5.844689,328.41778564453125
Enna,Gryllus campestris,43.638232,5.910617,419.7121276855469
Enna,Tettigometra sulphurea,43.638232,5.910617,419.7121276855469
Enna,Arenocoris waltlii,43.638232,5.910617,419.7121276855469
Enna,Staria lunata,43.638232,5.910617,419.7121276855469
Enna,Buthus occitanus,43.721589,5.847831,313.6534118652344
Enna,Eurrhypis guttulalis,43.669175,5.821296,415.0135803222656
Enna,Minucia lunaris,43.67637,5.830924,445.0659484863281
Enna,Melitaea didyma,43.675576,5.804034,370.0065002441406
Enna,Ectobius lapponicus,43.721705,5.847695,315.1673889160156
Enna,Callophrys avis,43.136369,6.107558,162.24502563476562
Enna,Euphydryas aurinia,43.499075,6.091199,223.09078979492187
Enna,Lysandra bellargus,43.499075,6.091199,223.09078979492187
Enna,Tettigonia viridissima,43.498071,6.086832,219.91236877441406
Enna,Codophila varia,43.136369,6.107558,162.24502563476562
Enna,Anthaxia hungarica,43.499238,6.090941,225.09230041503906
Enna,Trichodes alvearius,43.498709,6.084257,228.97396850585937
Enna,Pachyxyphus lineellus,43.136369,6.107558,162.24502563476562
Enna,Zygaena lavandulae,43.562399,6.173666,427.4476318359375
Enna,Zygaena rhadamantus,43.561777,6.173013,424.9508056640625
Enna,Misumena vatia,43.56299,6.176869,435.6380310058594
Enna,Hister quadrimaculatus,43.564848,6.174226,438.9385681152344
Enna,Tychius cinnamomeus,43.564848,6.174226,438.9385681152344
Enna,Sciocoris maculatus,43.564848,6.174226,438.9385681152344
Enna,Dicranocephalus agilis,43.563046,6.175039,438.40814208984375
Enna,Camptopus lateralis,43.563046,6.175039,438.40814208984375
Enna,Alopecosa albofasciata,43.539504,5.793955,599.42193603515625
Enna,Attelabus nitens,43.539504,5.793955,599.42193603515625
Enna,Colias alfacariensis,43.5570777,6.1933081,407.8702392578125
Enna,Lygaeus equestris,43.561856,6.196217,336.1416320800781
Enna,Leptidea sinapis,43.561856,6.196217,336.1416320800781
Enna,Calamobius filum,43.564311,6.182404,365.1710510253906
Enna,Omia cyclopea,43.561856,6.196217,336.1416320800781
Enna,Bombylella atra,43.656348,6.120454,542.98382568359375
Enna,Malacosoma franconica,43.622034,6.157512,443.7777099609375
Enna,Eurrhypis pollinalis,43.627418,6.163491,445.5475769042969
Enna,Scolitantides orion,43.706493,6.077906,434.1943664550781
Enna,Lycaena alciphron,43.706493,6.077906,434.1943664550781
Enna,Cupido minimus,43.687743,6.113589,506.4679870605469
Enna,Libelloides lacteus,43.67941,6.109083,561.0224609375
Enna,Rhynocoris erythropus,43.67941,6.109083,561.0224609375
Enna,Ornatoraphidia flavilabris,43.6898,6.124517,546.24945068359375
Enna,Acontia lucida,43.626336,6.043892,577.73504638671875
Enna,Melanargia occitanica,43.5672804,5.7342162,425.7200622558594
Enna,Cercopis sanguinolenta,43.5672804,5.7342162,425.7200622558594
Enna,Cetonia aurata,43.5672804,5.7342162,425.7200622558594
Enna,Olethreutes arcuella,43.5651095,5.7319008,442.23193359375
Enna,Aelia rostrata,43.5651095,5.7319008,442.23193359375
Enna,Zicrona caerulea,43.5624667,5.6257667,488.87579345703125
Enna,Eucidia mi,43.5624667,5.6257667,488.87579345703125
Enna,Euclidia glyphica,43.5624667,5.6257667,488.87579345703125
Enna,Dorycera grandis,43.347492,6.408309,93.69447326660156
Enna,Ischnura elegans,43.345697,6.408856,88.66905212402344
Enna,Drasterius bimaculatus,43.345697,6.408856,88.66905212402344
Enna,Velia rivulorum,43.344589,6.401858,92.3747329711914
Enna,Tropidotilla litoralis,43.344555,6.400155,95.6083984375
Enna,Libellula quadrimaculata,43.345883,6.391819,84.95845031738281
Enna,Nymphalis antiopa,43.346187,6.392522,84.42633056640625
Enna,Cercopis vulnerata,43.34613,6.392235,84.18871307373047
Enna,Coenagrion puella,43.34613,6.392235,84.18871307373047
Enna,Paratettix meridionalis,43.346011,6.391666,84.7751693725586
Enna,Attagenus trifasciatus,43.345572,6.389818,86.2031021118164
Enna,Halyomorpha halys,43.559784,6.177664,428.15155029296875
Enna,Cupido osiris,43.700051,5.9353,491.25494384765625
Enna,Melitaea phoebe,43.6651725,5.9420371,490.4605712890625
Enna,Holcostethus sphacelatus,43.327538,5.771095,944.68621826171875
Enna,Trichius gallicus,43.564738,6.177214,417.25323486328125
Enna,Capsodes flavomarginatus,43.335278,6.413609,110.99716186523437
Enna,Hadrodemus m-flavum,43.335278,6.413609,110.99716186523437
Enna,Barbitistes fischeri,43.335832,6.410229,105.4505386352539
Enna,Chrysanthia viridissima,43.335793,6.408105,107.05299377441406
Enna,Orthezia urticae,43.335793,6.408105,107.05299377441406
Enna,Stenurella nigra,43.335426,6.406871,111.41252899169922
Enna,Valgus hemipterus,43.33584,6.404468,108.70851135253906
Enna,Allygus modestus,43.33584,6.404468,108.70851135253906
Enna,Netocia morio,43.33663,6.394031,107.26164245605469
Enna,Arctia villica,43.339564,6.392647,104.3277359008789
Enna,Machilinus rupestris,43.341757,6.391735,97.70172119140625
Enna,Exosoma lusitanicum,43.341757,6.391735,97.70172119140625
Enna,Stictoleptura scutellata,43.343622,6.391928,90.85929870605469
Enna,Stenurella melanura,43.343622,6.391928,90.85929870605469
Enna,Cerocoma schaefferi,43.344517,6.401474,92.8572006225586
Enna,Anax  parthenope,43.344092,6.409051,91.74107360839844
Enna,Velia saulii,43.338638,6.40903,98.85376739501953
Enna,Lysandra hispana,43.7913636,6.2353742,534.41900634765625
Enna,Zygaena loti,43.7913636,6.2353742,534.41900634765625
Enna,Scarabaeus laticollis,43.790717,6.235082,530.55169677734375
Enna,Iberochloe tagis,43.744123,6.249439,864.10931396484375
Enna,Limenitis reducta,43.6895052,5.868277,424.99322509765625
Enna,Arctia tigrina,43.688539,5.86369,443.5351257324219
Enna,Bombylius fimbriatus,43.689764,5.872311,428.3078308105469
Enna,Loxocnemis dentator,43.689764,5.872311,428.3078308105469
Enna,Sphenoptera barbarica,43.681258,5.879382,428.39752197265625
Enna,Oedemera podagrariae,43.686097,5.851146,381.3622741699219
Enna,Anthaxia salicis,43.689943,5.873677,441.3887023925781
Enna,Trichodes leucopsideus,48.682028,5.907544,202.46600341796875
Enna,Anthrax anthrax,43.680676,5.909823,494.56597900390625
Enna,Coenonympha arcania,43.680706,5.993415,537.47113037109375
Enna,Pseudopanthera macularia,43.677223,5.99026,541.3272705078125
Enna,Hispa atra,43.677223,5.99026,541.3272705078125
Enna,Scopula decorata,43.669177,5.975867,541.54693603515625
Enna,Horistus orientalis,43.669177,5.975867,541.54693603515625
Enna,Conostethus roseus,43.669177,5.975867,541.54693603515625
Enna,Usia atrata,43.672365,5.974375,516.64178466796875
Enna,Perconia strigillaria,43.674146,5.868448,443.5567932128906
Enna,Calocoris nemoralis,43.675729,5.86927,434.3542785644531
Enna,Cryptocephalus infirmior,43.70596,5.980192,567.130126953125
Enna,Heterogynis penella,43.70596,5.980192,567.130126953125
Enna,Lasiommata maera,43.70275,5.976838,554.50531005859375
Enna,Acmaeoderella flavofasciata,43.645655,5.976301,555.97845458984375
Enna,Calocoris roseomaculatus,43.645655,5.976301,555.97845458984375
Enna,Chrysomela bankii,43.519067,5.58575,428.32318115234375
Enna,Propylea quatuordecimpunctata,43.519067,5.58575,428.32318115234375
Enna,Plebejus argus,43.526711,5.568969,397.9312438964844
Enna,Anthaxia thalassophila,43.51922,5.586289,430.0649719238281
Enna,Myopa dorsalis,43.52357,5.584656,550.746337890625
Enna,Hemaris tityus,43.674546,5.870756,435.8861083984375
Enna,Acmaeodera degener,43.589447,5.632246,504.973876953125
Enna,Odontotarsus purpureolineatus,43.587753,5.628603,537.95733642578125
Enna,Cydnus aterrimus,43.587753,5.628603,537.95733642578125
Enna,Parexochomus nigromaculatus,43.587753,5.628603,537.95733642578125
Enna,Opsilia coerulescens,43.589447,5.632246,504.973876953125
Enna,Pieris brassicae,43.84503,6.230366,943.09466552734375
Enna,Melitaea celadussa,43.84503,6.230366,943.09466552734375
Enna,Pijnackeria masettii,43.84503,6.230366,943.09466552734375
Enna,Heliophanus tribulosus,43.702718,6.006642,434.4194641113281
Enna,Maniola jurtina,43.563599,6.176497,438.1510314941406
Enna,Pyrrhosoma nymphula,43.564884,6.183227,364.6562194824219
Enna,Argynnis paphia,43.666237,5.875112,448.3695373535156
Enna,Zygaena filipendulae,43.666237,5.875112,448.3695373535156
Enna,Fallenia fasciata,43.666237,5.875112,448.3695373535156
Enna,Agapanthia cardui,43.666237,5.875112,448.3695373535156
Enna,Urophora solstitialis,43.666237,5.875112,448.3695373535156
Enna,Ptosima undecimmaculata,43.665454,5.887386,448.1456604003906
Enna,Acmaeodera pilosellae,43.66661,5.886077,450.72222900390625
Enna,Ventocoris rusticus,43.66623,5.886914,447.7899475097656
Enna,Centrocoris spiniger,43.666237,5.875112,448.3695373535156
Enna,Brachycarenus tigrinus,43.666237,5.875112,448.3695373535156
Enna,Brachycoleus triangularis,43.66623,5.886914,447.7899475097656
Enna,Rhinusa tetra,43.66623,5.886914,447.7899475097656
Enna,Deraeocoris ribauti,43.666237,5.875112,448.3695373535156
Enna,Sphedanolestes lividigaster,43.66623,5.886914,447.7899475097656
Enna,Zygaena trifolii,43.653744,5.908784,423.3417053222656
Enna,Oedemera flavipes,43.645029,5.846842,339.0635070800781
Enna,Vadonia unipunctata,43.653573,5.905823,426.08221435546875
Enna,Anthaxia hypomelaena,43.646884,5.848462,345.6350402832031
Enna,Anthaxia confusa,43.653829,5.904589,429.3902893066406
Enna,Rhodostrophia calabra,43.653699,5.89932,424.77593994140625
Enna,Aelia notata,43.653699,5.89932,424.77593994140625
Enna,Tylopsis lilifolia,43.654102,5.871003,431.5694580078125
Enna,Mantis religiosa,43.654102,5.871003,431.5694580078125
Enna,Acmaeodera bipunctata,43.656664,5.862029,379.0955810546875
Enna,Anthaxia fulgurans,43.642192,5.85931,367.02923583984375
Enna,Myrmilla capitata,43.643573,5.862015,386.41961669921875
Enna,Adelphocoris quadripunctatus,43.678058,5.906679,478.0182189941406
Enna,Clytus rhamni,43.677387,5.904091,474.0664367675781
Enna,Stagonomus amoenus,43.677543,5.906815,477.5291442871094
Enna,Eilema lurideola,43.677543,5.906815,477.5291442871094
Enna,pyrgus,44.085839,6.303054,866.31304931640625
Enna,Melitaea parthenoides,44.085839,6.303054,866.31304931640625
Enna,Diaperis boleti,44.085839,6.303054,866.31304931640625
Enna,Cilix glaucata,44.085711,6.30288,864.19671630859375
Enna,Sphinx pinastri,44.085711,6.30288,864.19671630859375
Enna,Saturnia pyri,44.085711,6.30288,864.19671630859375
Enna,Diacrisia sannio,44.085711,6.30288,864.19671630859375
Enna,Aphelia ferugana,44.085711,6.30288,864.19671630859375
Enna,Deilephila porcellus,44.085711,6.30288,864.19671630859375
Enna,Calliteara pudibunda,44.085711,6.30288,864.19671630859375
Enna,Pheosia tremula,44.085711,6.30288,864.19671630859375
Enna,Dendrolimus pini,44.085711,6.30288,864.19671630859375
Enna,Zygaena fausta,44.085711,6.30288,864.19671630859375
Enna,Diloba caeruleocephala,44.085464,6.307161,916.71746826171875
Enna,Ematurga atomaria,44.085464,6.307161,916.71746826171875
Enna,Raphidia ophiopsis,44.067536,6.319612,1166.2816162109375
Enna,Zygaena lonicerae,44.068458,6.321447,1214.0179443359375
Enna,Rhagium inquisitor,44.06796,6.324472,1250.3580322265625
Enna,Hamearis lucina,44.06796,6.324472,1250.3580322265625
Enna,Pieris napi,44.06796,6.324472,1250.3580322265625
Enna,Cupido alcetas,44.06796,6.324472,1250.3580322265625
Enna,Lasiommata petropolitana,44.0671,6.32503,1265.236328125
Enna,Erebia triarius,44.066779,6.332925,1613.8607177734375
Enna,Parnassius mnemosyne,44.066819,6.332603,1606.23046875
Enna,Aglia tau,44.064229,6.329868,1532.0927734375
Enna,Parnassius apollo,44.066819,6.332603,1606.23046875
Enna,Thanasimus formicarius,44.065437,6.324757,1298.84814453125
Enna,Hemaris fuciformis,44.108775,6.227035,657.45623779296875
Enna,Zygaena transalpina,44.108632,6.227059,655.38787841796875
